lbl,dflt,au,ca,sg,uk
"notify on job entry","Notify on job entry","","","",""
"this is a cod term","This is a COD term","","","",""
"job terms are 1","Job terms are: \n\n<TERMS> \n\nJust thought you would like to know!","","","",""
"job terms are 2","Job terms are: \n\n<TERMS> \n\nNow isn't that interesting!","","","",""
"job terms are 3","Job terms are: \n\n<TERMS> \n\nPlease make a note of it!","","","",""
"job terms are 4","Job terms are: \n\n<TERMS> \n\nPlease behave accordingly!","","","",""
"cust terms are 1","Customer terms are: \n\n<TERMS> \n\nJust thought you would like to know!","","","",""
"cust terms are 2","Customer terms are: \n\n<TERMS> \n\nNow isn't that interesting!","","","",""
"cust terms are 3","Customer terms are: \n\n<TERMS> \n\nPlease make a note of it!","","","",""
"cust terms are 4","Customer terms are: \n\n<TERMS> \n\nPlease behave accordingly!","","","",""
"unlink quote","Unlink quote: <QUOTE>?","","","",""
"quote is already linked","Quote: <QUOTE> is already linked.","","","",""
"link to existing quote","Link to existing quote","","","",""
"create and link new quote","Create and link to new blank quote","","","",""
"copy and link new quote","Copy and link to new quote","","","",""
"copy new quote","Copy to new quote (don't link)","","","",""
"quote linked to another series","The quote you have selected is linked to another series. \n\nAre you sure you want to link it to this quote instead?","","","",""
"from office","From the office","","","",""
"your notes","Your Notes","","","",""
"clock in to ft","Clock in to FTick","","","",""
"drive back to shop","Drive back to shop","","","",""
"optional","Optional","","","",""
"clock out of ft","Clock out of FTick","","","",""
"warehouses","Warehouses","","","",""
"service shops","Service Shops","","","",""
"filter shops","Filter Service Shops","","","",""
"delete shop","Delete service shop: <NAME>?","","","",""
"service shop","Service Shop","","","",""
"service rep","Service Rep.","","","",""
"serv shop","Serv. Shop","","","",""
"horizontal sched","Horizontal Sched.","","","",""
"no unassigned wos","No Unassigned WOs. Way to go!","","","",""
"unassigned wos","Unassigned WOs","","","",""
"loc","Loc","","","",""
"prep for cont not found","Prepared For contact not found","","","",""
"company branch info","Company/<LBLBRANCH> Info","","","",""
"display name","Display Name","","","",""
"printed mailing address","Printed/Mailing Information","","","",""
"physical address","Physical Address","","","",""
"copy from physical","Copy From\n Physical","","","",""
"copy from printed","Copy From\n Printed","","","",""
"min job price","Min. Job Price","","","",""
"download inv","Download Invoice","","","",""
"download inv ft","Download Invoice & FT's","","","",""
"text inv","Text Invoice","","","",""
"text inv ft","Text Invoice & FT's","","","",""
"ft error ftworker on ft twice","Uh oh. Somethint went wrong. <span style='font-size:20px'>&#128533;</span>\nIt looks like you were added as an add'l worker on this field ticket more than once.\n\nPlease contact your office and have them delete the 'duplicates' of you on this field ticket and then try again.","","","",""
"amount","Amount","","","",""
"email address","Enter Email Address","","","",""
"enter email address","Email Address","","","",""
"payment","Payment","","","",""
"enter payment","Enter Payment","","","",""
"enter payments","Enter Payments","","","",""
"every payment req cust","Every payment requires a customer. You must select a customer to continue with entering a payment.","","","",""
"payment method","Payment Method","","","",""
"payment date cannot be in future","Payment cannot be in the future.","","","",""
"ref no","Ref No.","","","",""
"outstanding invoices","Outstanding Invoices","","","",""
"prev pmt","Prev. Pmt","","","",""
"amt due","Amt Due","","","",""
"amt to apply","Amt To Apply","","","",""
"amt to pay","Amt To Pay","","","",""
"bal is retention","Bal. Is Retention","","","",""
"payment notes","Payment Notes","","","",""
"not setup to process cc","You have not setup credit card processing in <APPNAME>. Please setup CC processing in <APPNAME> and then try again.","","","",""
"auto apply","Auto Apply","","","",""
"applied","Applied","","","",""
"to surplus","To Surplus","","","",""
"remaining","Remaining","","","",""
"no outstanding inv and no surplus","No outstanding invoices for customer and nothing applied to the Surplus Acct.","","","",""
"must select a branch","You must select a lower(<LBLBRANCH>)","","","",""
"must specify payment dt","You must specify a payment date.","","","",""
"payment date cannot be before invoice date","Payment date cannot be prior to the invoice date to which it is being applied","","","",""
"must enter payment amount","You must enter the payment amount.","","","",""
"payment not fully dist","The payment has not been fully distributed","","","",""
"payment over dist","The payment has been over distributed. Please correct.","","","",""
"payment req notes","The payment type requires clarification in the notes before continuing.","","","",""
"cannot apply more than payment amount to surplus","You cannot apply more than the payment amount to the the Surplus Acct.","","","",""
"amt to surplus must be pos","Amount to apply to the Surplus Account cannot be negative.","","","",""
"check no ref no","You have not entered a check reference number. This should be entered. Would you like to enter it now?","","","",""
"enter it now","Enter it now","","","",""
"dont enter it","Don't enter it","","","",""
"payment date cannot be in future","The payment date cannot be in the future.","","","",""
"cannot apply more than invoice bal","You cannot apply more to an invoice than the invoice's current balance.","","","",""
"must enter name on card","You must enter the name on the card.","","","",""
"inv bal has changed press ok to reload","The invoice balance for invoice <INVOICEID> has changed since you opened this page. \nPress OK to reload this page with the updated invoice balance","","","",""
"print receipt","Print Receipt","","","",""
"payment successful enter another payment","Payment Successful! \n\nWould you like to enter another payment?","","","",""
"adjustment reason","Adjustment Reason","","","",""
"adjustment can only go against invoices","Pay type cannot be an Adjustment if you are applying an amount to the Surplus Acct. Adjustments can only be applied to invoices.","","","",""
"must choose adj reason","You must choose an adjustment reason","","","",""
"payments","Payments","","","",""
"view inv","View Invoice","","","",""
"view inv tickets","View Invoice & Tickets","","","",""
"add fee","Add Fee","","","",""
"create fee","Create Fee","","","",""
"percentage","Percentage","","","",""
"simple","Simple","","","",""
"flat amount","Flat Amount","","","",""
"for cc","For CC","","","",""
"orig amt","Orig. Amt.","","","",""
"fee amt","Fee Amt","","","",""
"new total","New Total","","","",""
"* fee tax","* Fee + Tax (if taxable)","","","",""
"gl code","GL Code","","","",""
"desc cannot be empty","Description cannot be empty.","","","",""
"fee amount cannot be blank","Fee amount cannot be blank.","","","",""
"fee perc cannot be empty","Fee percentage cannot be empty.","","","",""
"must select fee type","You must select an fee type","","","",""
"job not cod no payment","This job is not flagged as a COD job. You must create the invoice before you can accept payment.","","","",""
"click refresh after office enters cod","Click refresh after you call the office and they enter the COD amount","","","",""
"cannot pay more than cod amount","You cannot pay more than the COD amount","","","",""
"not setup for cc payments","Your company is not setup to process credit card payments in <APPNAME>. Please contact your office and have them enable CC payments in <APPNAME>","","","",""
"prepay","Prepay","","","",""
"no vehicles defined","No vehicles defined","","","",""
"reload page","Reload Page","","","",""
"wo docs refs blank","It looks like an update has been partly applied but needs to finish being applied to complete this action.\n\n Please reload this page to finish applying the update.","","","",""
"card has been preauthed","Card ending in: <CARD>    has been pre-authorized for: <AMT>","","","",""
"pay amount cannot be greater than pre-auth options","The amount entered cannot be greater than what the card was pre-authorized for.\n\nPre-Auth Amount: <PAAMT>\nYour Payment Amount: <PMTAMT>\nDifference: <DIFF>\n\nYou must either cancel the pre-authorization and re-enter the card info to charge the higher amount OR decreases the payment to match the pre-authorized amount.","","","",""
"cancel cc preauth","Cancel CC Pre-Auth.","","","",""
"change payment amt","Change Payment Amt.","","","",""
"abort","Abort","","","",""
"confirm cancel cc preauth","Are you sure you want to cancel the pre-authorization of <AMT> for job: <JOB>?\n\nNOTE: This cannot be undone.","","","",""
"cc preauth already used or cancel","Pre-Authorization has already been used, cancelled, or is expired.","","","",""
"preauth avail to use","A Pre-Authorized CC is available to use. Select it under 'Payment Method'","","","",""
