lbl,dflt,la
"report","Informe",""
"unknown","Desconocido",""
"linked quotes","Citas vinculadas",""
"converted to job","Convertido en trabajo",""
"open job","Trabajo abierto",""
"unlink from job","Desvincular del trabajo",""
"view mod cust","Ver / Modificar información del cliente",""
"distance","Distancia",""
"for","para",""
"must set a quote date","Debe fijar una fecha de cotización.",""
"quote converted read only","Este presupuesto se ha convertido en un trabajo y ahora es sólo para lectura.",""
"quote converted nsi read only","Este presupuesto se ha convertido en un NSI y ahora es sólo para lectura.",""
"quote signed read only","Esta cotización ha sido firmada y ahora es sólo para lectura.",""
"confirm unlink quote job","¿Está seguro de que desea desvincular esta cotización del trabajo: <JOBSID>?",""
"cannot link job to multiple quotes","No se puede vincular el trabajo a varias cotizaciones. Trabajo ya vinculado a cotización: <QUOTEID>",""
"quote price","Precio de cotización",""
"delete sig","Borrar firma","Eliminar firma"
"del sig quote","Al borrar la firma electrónica, ¡se "anulará" esta cotización!\nBorre la firma sólo si es necesario hacer correcciones y el cliente está disponible para renunciar a ella.","Al eliminar la firma electrónica, ¡se "anulará" esta cotización!\nEliminar la firma sólo si es necesario hacer correcciones y el cliente está disponible para renunciar a ella."
"live chat","Chat en vivo con el soporte de <APPABBR>",""
"pic still saving cant del","Esta foto aún se está guardando en su servidor. Podrá borrarla una vez que se haya guardado por completo. Por favor, inténtelo de nuevo en unos minutos.","Esta foto aún se está guardando en su servidor. Podrá eliminarla una vez que se haya guardado por completo. Inténtelo de nuevo en unos minutos."
"must view training docs","Debe ver los documentos/videos de capacitación antes de poder enviar esta capacitación.",""
"link to quote","Enlazar a la cotización",""
"view quote","Ver cotización",""
"cannot link quote to multiple jobs","No se puede vincular el trabajo a varias cotizaciones. Trabajo ya vinculado a cotización: <JOBSID>",""
"new quote","Nueva cotización",""
"not on job","(No en trabajo)",""
"assign qty","Asignar Cant.",""
"start tacking time","Iniciar el seguimiento del tiempo",""
"stop tacking time","Detener el seguimiento del tiempo",""
"must take pics","Debe subir al menos <CNT> foto(s)",""
"allocate task time","Asignar el tiempo de la tarea",""
"task %","% de la tarea",""
"must allocate 100%","Debe asignar todo el tiempo (100%)",""
"cannot allocate more than 100%","No puede asignar más del 100%.",""
"must allocate task time","Debe distribuir el tiempo de su tarea.",""
"add task","Añadir tarea",""
"add missing task","Añadir tarea pendiente",""
"help docs","Documentos de ayuda",""
"convert to job","Convertir en trabajo",""
"confirm convert quote","¿Está seguro de que desea convertir esta cotización en un trabajo?",""
"confirm convert quote nsi","¿Está seguro de que desea convertir esta cotización en un NSI?",""
"convert","Convertir",""
"quote converted open job","La cotización ha sido convertida en id de trabajo: <JOB>",""
"open quote","Abrir cotización",""
"other addresses","Otras direcciones",""
"send to cust","Enviar al cliente.",""
"no link found to send to cust","No se ha encontrado ningún enlace para enviar al cliente.",""
"cust never signed and link has timed out","El cliente aún no ha firmado y el enlace ha caducado.",""
"send link","Enviar enlace",""
"send","Enviar",""
"qr code","Código QR",""
"cell #","<LBLCELL> #",""
"must select an option","Debe seleccionar una opción",""
"must enter a valid phone number or name","Debe introducir un número de teléfono o un nombre válidos",""
"must enter a valid phone number","Debe introducir un número de teléfono válido",""
"customer has signed","El cliente ha firmado",""
"get customer sig","Obtener la firma del cliente",""
"on my device","En mi dispositivo",""
"text link to","Enlace de texto a",""
"no site cont found","No se ha encontrado ningún contacto",""
"qr loading","Generar código QR",""
"sig link sent","Enlace de firma enviado",""
"texting sig link not avail offline","El enlace de la firma no está disponible mientras esté desconectado.",""
"cust sig link expires in","El enlace caducará en","El enlace vencerá en"
"on this device","En este dispositivo",""
"on cust device","En el dispositivo del cliente",""
"failed to get cust sig","Error al obtener la firma del cliente",""
"reason","Motivo",""
"must select reason no cust sig","Debe seleccionar el motivo por el que no consiguió la firma del cliente.",""
"no one","Nadie",""
"need cust sig ft depart","Se requiere la firma del cliente antes de que pueda enviar esta forma. Normalmente debería obtener la firma antes de abandonar el lugar del trabajo. ¿Desea obtener la firma ahora?",""
"get sig","Conseguir la firma",""
"need cust sig ft submit","Debe conseguir la firma del cliente o especificar por qué no ha conseguido la firma antes de poder enviar forma.",""
"filter terms","Filtrar términos",""
"delete term","¿Borrar término: <NAME>?","¿Eliminar término: <NAME>?"
"term","Término",""
"notify on job entry","Notificar en la entrada del trabajo",""
"this is a cod term","Se trata de un término COD",""
"job terms are 1","Los términos del trabajo son:\n\n<TERMS> \n\n¡Pensé que le gustaría saberlo!","Los términos del trabajo son:\n\n<TERMS>\n\n¡Solo pensé que le gustaría saberlo!"
"job terms are 2","Los términos del trabajo son:\n\n<TERMS> \n\nAhora, ¿no es eso interesante?","Los términos del trabajo son:\n\n<TERMS>\n\nAhora, ¿no es eso interesante?"
"job terms are 3","Los términos del trabajo son:\n\n<TERMS> \n\nPor favor, ¡tome nota!","Los términos del trabajo son:\n\n<TERMS>\n\n¡Tome nota!"
"job terms are 4","Los términos del trabajo son:\n\n<TERMS>\n\nPor favor, ¡compórtese en consecuencia!","Los términos del trabajo son:\n\n<TERMS>\n\n¡Compórtese en consecuencia!"
"cust terms are 1","Los términos del cliente son:\n\n<TERMS>\n\n¡Pensé que le gustaría saberlo!","Los términos del cliente son:\n\n<TERMS>\n\n¡Solo pensé que le gustaría saberlo!"
"cust terms are 2","Los términos del cliente son:\n\n<TERMS> \n\nAhora, ¿no es eso interesante?",""
"cust terms are 3","Los términos del cliente son:\n\n<TERMS>\n\n Por favor, ¡tome nota!","Los términos del cliente son:\n\n<TERMS>\n\n¡Tome nota!"
"cust terms are 4","Los términos del cliente son:\n\n<TERMS>\n\nPor favor, ¡compórtese en consecuencia!","Los términos del cliente son:\n\n<TERMS>\n\n¡Compórtese en consecuencia!"
"unlink quote","Desenlazar cotización: <QUOTE>?",""
"quote is already linked","Cotización: <QUOTE> ya está enlazada.",""
"link to existing quote","Enlazar a la cotización existente",""
"create and link new quote","Crear y enlazar a una nueva cotización en blanco",""
"copy and link new quote","Copiar y enlazar a la nueva cotización",""
"copy new quote","Copiar a la nueva cotización (no enlazar)",""
"quote linked to another series","La cotización que ha seleccionado está vinculada a otra serie.\n\n¿Está seguro de que quiere vincularlo a esta cotización en su lugar?",""
"from office","Desde la oficina",""
"your notes","Sus notas",""
"clock in to ft","Checar entrada de la forma","Hora de entrada del formulario"
"drive back to shop","Volver a la tienda",""
"optional","Opcional",""
"clock out of ft","Checar salida de la forma","Hora de salida del formulario"
"warehouses","Almacenes",""
"service shops","Tiendas de servicio",""
"filter shops","Filtrar tiendas de servicio",""
"delete shop","¿Borrar tienda de servicio: <NAME>?","¿Eliminar tienda de servicio: <NAME>?"
"service shop","Tienda de servicio",""
"service rep","Representante de servicio.",""
"serv shop","Tienda de serv.",""
"horizontal sched","Programación horizontal",""
"no unassigned wos","No hay OT sin asignar. ¡Así se hace!",""
"unassigned wos","OT no asignadas",""
"loc","Ubic.",""
"prep for cont not found","Preparado para contacto no encontrado",""
"company branch info","Inf. sobre la empresa/<LBLBRANCH>",""
"display name","Mostrar nombre",""
"printed mailing address","Información impresa/correo",""
"physical address","Dirección física",""
"copy from physical","Copia del físico",""
"copy from printed","Copia del impreso",""
"min job price","Precio del trabajo mínimo",""
"download inv","Descargar factura",""
"download inv ft","Descargar factura y forma","Descargar factura y formulario"
"text inv","Texto de factura",""
"text inv ft","Texto de factura y formas","Texto de factura y formularios"
"ft error ftworker on ft twice","Uh oh. Algo ha ido mal. <span style='font-size:20px'>&#128533;</span> Parece que\nusted ha sido añadido como trabajador adicional en esta forma más de una vez.\n\nPor favor, póngase en contacto con su oficina para que borren sus 'duplicados' en esta forma y vuelva a intentarlo.","Uh oh. Algo ha ido mal. <span style='font-size:20px'>&#128533;</span> Parece que\nusted ha sido agregado como trabajador adicional en este formulario más de una vez.\n\nPóngase en contacto con su oficina para que eliminen sus 'duplicados' en este formulario y vuelva a intentarlo."
"amount","Importe",""
"email address","Introduzca la dirección de correo electrónico",""
"enter email address","Dirección de correo electrónico",""
"payment","Pago",""
"enter payment","Introducir pago",""
"enter payments","Introducir pagos",""
"every payment req cust","Cada pago requiere un cliente. Debe seleccionar un cliente para continuar con la introducción de un pago.",""
"payment method","Forma de pago",""
"payment date cannot be in future","El pago no puede ser en el futuro.",""
"ref no","Núm. de ref.",""
"outstanding invoices","Facturas pendientes",""
"prev pmt","Pago anterior",""
"amt due","Importe adeudado",""
"amt to apply","Importe por aplicar",""
"amt to pay","Importe por pagar",""
"bal is retention","El saldo es retención",""
"payment notes","Notas de pago",""
"not setup to process cc","No ha configurado el procesamiento de tarjetas de crédito en el <APPNAME>. Por favor, configure el procesamiento de TC en <APPNAME> y luego inténtelo de nuevo.","No ha configurado el procesamiento de tarjetas de crédito en el <APPNAME>. Configure el procesamiento de TC en <APPNAME> y luego inténtelo de nuevo."
"auto apply","Auto Aplicar",""
"applied","Aplicada",""
"to surplus","A excedente",""
"remaining","Restante",""
"no outstanding inv and no surplus","No hay facturas pendientes para el cliente y no se ha aplicado nada a la cuenta de excedentes.",""
"must select a branch","Debe seleccionar una lower(<LBLBRANCH>)",""
"must specify payment dt","Debe especificar una fecha de pago.",""
"payment date cannot be before invoice date","La fecha de pago no puede ser anterior a la fecha de la factura a la que se aplica",""
"must enter payment amount","Debe introducir el importe del pago.",""
"payment not fully dist","El pago no se ha distribuido en su totalidad",""
"payment over dist","El pago se ha distribuido en exceso. Por favor, corrija.","El pago se ha distribuido en exceso. Corregir."
"payment req notes","El tipo de pago requiere una aclaración en las notas antes de continuar.",""
"cannot apply more than payment amount to surplus","No puede aplicar más del importe del pago a la cuenta de excedentes.",""
"amt to surplus must be pos","El importe por aplicar a la cuenta de excedentes no puede ser negativo.",""
"check no ref no","No ha introducido un número de referencia del cheque. Debería introducirlo. ¿Desea introducirlo ahora?",""
"enter it now","Introducirlo ahora",""
"dont enter it","No introducirlo",""
"payment date cannot be in future","El pago no puede ser en el futuro.",""
"cannot apply more than invoice bal","No puede aplicar a una factura un importe superior al saldo actual de la factura.",""
"must enter name on card","Debe introducir el nombre que figura en la tarjeta.",""
"inv bal has changed press ok to reload","El saldo de la factura <INVOICEID> ha cambiado desde que abrió esta página.\nHaga clic en OK para recargar esta página con el saldo de factura actualizado","El saldo de la factura <INVOICEID> ha cambiado desde que abrió esta página.\n Haga clic en OK para recargar esta página con el saldo de factura actualizado"
"print receipt","Imprimir recibo",""
"payment successful enter another payment","¡Pago realizado con éxito!\n\n¿Desea introducir otro pago?",""
"adjustment reason","Motivo del ajuste",""
"adjustment can only go against invoices","El tipo de pago no puede ser un Ajuste si está aplicando un importe a la Cuenta de Excedentes. Los ajustes sólo pueden aplicarse a facturas.",""
